time,iteration,loss,test accuracy,test end,train accuracy,train end
2m 49s (- -3m 10s),1000,3.4067438474818874,15.9,71.3,18.0,71.2
4m 46s (- -5m 14s),2000,3.1781227186913314,18.099999999999998,64.1,20.599999999999998,60.3
6m 15s (- -7m 44s),3000,3.082160894550622,16.8,64.0,18.0,63.7
8m 13s (- -9m 46s),4000,2.939520219937953,19.400000000000002,60.9,19.8,58.9
10m 26s (- -11m 33s),5000,3.0407879342699227,17.1,30.099999999999998,18.2,30.4
12m 18s (- -13m 41s),6000,2.996800970694374,19.1,60.199999999999996,20.3,59.5
14m 34s (- -15m 25s),7000,3.0055209939981125,20.3,63.3,22.5,65.0
16m 36s (- -17m 23s),8000,2.911870903084935,18.2,49.8,21.7,49.7
18m 52s (- -19m 7s),9000,2.941213295513395,20.9,42.199999999999996,21.9,41.099999999999994
21m 8s (- -22m 51s),10000,2.914999995557207,18.8,54.50000000000001,22.2,55.2
23m 7s (- -24m 52s),11000,2.956186769346191,18.5,59.9,21.8,60.199999999999996
25m 22s (- -26m 37s),12000,2.7525707035370153,21.0,54.300000000000004,26.5,56.00000000000001
27m 31s (- -28m 28s),13000,2.8255098589416296,21.5,64.2,24.7,63.800000000000004
29m 47s (- -30m 12s),14000,2.8866434276523742,19.8,44.5,22.400000000000002,44.7
32m 14s (- -33m 45s),15000,2.786200426411026,22.900000000000002,50.2,24.5,52.2
34m 27s (- -35m 32s),16000,2.8712729728975326,21.3,49.6,22.8,47.8
36m 48s (- -37m 11s),17000,2.817427739304197,21.9,60.3,22.2,63.3
39m 12s (- -40m 48s),18000,2.8084067169557287,22.400000000000002,36.0,23.400000000000002,37.7
41m 28s (- -42m 31s),19000,2.8286964222165096,17.7,67.10000000000001,19.400000000000002,68.4
43m 49s (- -44m 10s),20000,2.8816948350824556,20.7,60.5,22.7,59.699999999999996
45m 58s (- -46m 2s),21000,2.733490383767476,19.2,62.9,21.099999999999998,65.4
48m 21s (- -49m 38s),22000,2.8090933097455677,20.7,57.8,22.0,58.099999999999994
50m 28s (- -51m 31s),23000,2.811862294984215,20.5,54.400000000000006,21.3,55.7
53m 3s (- -54m 56s),24000,2.829805586801706,20.5,45.2,25.0,46.2
55m 19s (- -56m 40s),25000,2.827999457357966,19.6,47.099999999999994,22.7,44.800000000000004
57m 54s (- -58m 5s),26000,2.790477442463323,20.4,57.099999999999994,21.0,55.60000000000001
60m 18s (- -61m 41s),27000,2.814777787252629,23.599999999999998,46.400000000000006,25.3,46.0
62m 36s (- -63m 23s),28000,2.7627554636159335,19.900000000000002,64.7,22.6,63.4
