time,iteration,loss,test accuracy,test end,train accuracy,train end
47m 34s (- -48m 25s),70000,1.825310458330414,61.8,91.9,67.4,91.9
48m 9s (- -49m 50s),71000,1.8535079726871333,62.5,92.4,65.0,90.7
48m 59s (- -49m 0s),72000,1.8684709013461316,64.0,93.2,65.7,93.7
49m 28s (- -50m 31s),73000,1.8655272001550363,64.0,95.3,66.60000000000001,95.19999999999999
50m 15s (- -51m 44s),74000,1.8380069752108947,63.3,89.2,65.60000000000001,88.1
50m 55s (- -51m 4s),75000,1.8269531014496292,66.4,95.0,69.89999999999999,94.89999999999999
51m 35s (- -52m 24s),76000,1.91140717612904,66.10000000000001,95.0,67.80000000000001,94.1
52m 19s (- -53m 40s),77000,1.8055197432994268,61.6,94.8,65.9,95.39999999999999
52m 58s (- -53m 1s),78000,1.8354247936679842,63.9,94.6,67.80000000000001,94.3
53m 41s (- -54m 18s),79000,1.8519099916097692,64.5,96.0,70.6,96.7
54m 17s (- -55m 42s),80000,1.88111200870628,68.5,95.19999999999999,69.39999999999999,95.1
55m 2s (- -56m 57s),81000,1.8222376061187677,65.5,92.60000000000001,69.19999999999999,93.60000000000001
55m 40s (- -56m 19s),82000,1.7845252514486698,66.2,97.8,69.3,98.3
56m 21s (- -57m 38s),83000,1.7537868320747392,65.0,93.30000000000001,69.1,94.1
56m 58s (- -57m 1s),84000,1.8208908426287322,63.3,93.7,67.5,94.89999999999999
57m 42s (- -58m 17s),85000,1.8211415306821113,65.10000000000001,94.19999999999999,68.4,94.6
58m 21s (- -59m 38s),86000,1.7743954314626342,65.3,94.69999999999999,69.6,95.5
58m 59s (- -59m 0s),87000,1.820327129629715,65.0,93.2,67.30000000000001,93.60000000000001
59m 44s (- -60m 15s),88000,1.8788878668437734,66.7,98.3,71.1,97.89999999999999
60m 21s (- -61m 38s),89000,1.7921437585323403,62.4,95.39999999999999,66.2,96.0
61m 2s (- -62m 57s),90000,1.8230345761404558,60.8,94.6,64.1,95.7
61m 44s (- -62m 15s),91000,1.8888624915213819,62.6,93.2,68.10000000000001,95.3
62m 28s (- -63m 31s),92000,1.7820935214526248,63.0,92.10000000000001,67.30000000000001,90.8
63m 5s (- -64m 55s),93000,1.824096726371785,65.7,93.0,66.60000000000001,93.60000000000001
63m 48s (- -64m 11s),94000,1.879342113248081,63.3,93.2,67.7,94.1
64m 33s (- -65m 26s),95000,1.820321411635552,64.9,95.0,68.2,94.8
65m 5s (- -66m 54s),96000,1.822523448265905,66.3,96.7,70.7,96.2
65m 49s (- -66m 10s),97000,1.7763788593976075,68.5,93.89999999999999,70.0,94.0
66m 32s (- -67m 27s),98000,1.8076098130884377,66.3,95.1,68.0,94.5
67m 14s (- -68m 45s),99000,1.8040299924452134,64.7,92.0,67.9,91.7
67m 50s (- -68m 9s),100000,1.851266871366136,64.60000000000001,93.89999999999999,67.80000000000001,94.19999999999999
68m 40s (- -69m 20s),101000,1.8246846883217476,66.0,95.39999999999999,70.39999999999999,95.7
69m 12s (- -70m 47s),102000,1.8628156650071301,66.4,91.7,70.6,91.10000000000001
69m 56s (- -70m 3s),103000,1.7397523788478497,62.1,94.39999999999999,65.7,94.69999999999999
70m 33s (- -71m 26s),104000,1.7667774689782831,65.10000000000001,93.2,68.30000000000001,92.30000000000001
71m 20s (- -72m 39s),105000,1.7825348974849984,67.4,94.19999999999999,70.5,93.0
71m 52s (- -72m 7s),106000,1.7866367476932783,63.9,93.60000000000001,68.89999999999999,93.30000000000001
72m 39s (- -73m 20s),107000,1.8137147248614338,66.9,91.0,70.6,91.60000000000001
73m 17s (- -74m 42s),108000,1.8538570084170647,66.0,93.60000000000001,70.1,93.89999999999999
73m 57s (- -74m 2s),109000,1.76445747985396,67.10000000000001,93.89999999999999,70.39999999999999,93.30000000000001
74m 41s (- -75m 18s),110000,1.8600330481062637,67.7,94.6,70.39999999999999,94.5
75m 19s (- -76m 40s),111000,1.7589162501745923,67.10000000000001,97.2,71.0,97.2
75m 57s (- -76m 2s),112000,1.8189427864321703,66.0,93.10000000000001,67.80000000000001,90.9
76m 40s (- -77m 19s),113000,1.7641739610381517,64.9,96.1,69.8,95.39999999999999
77m 23s (- -78m 36s),114000,1.8042312341406475,65.8,93.5,70.89999999999999,93.8
78m 0s (- -79m 59s),115000,1.7988886588313675,66.10000000000001,94.6,68.2,94.3
78m 44s (- -79m 15s),116000,1.7485550152214446,70.8,94.5,72.89999999999999,92.60000000000001
79m 25s (- -80m 34s),117000,1.8397741431002632,65.7,92.9,68.89999999999999,92.9
80m 4s (- -81m 55s),118000,1.775718071309262,68.8,97.39999999999999,69.69999999999999,96.89999999999999
80m 43s (- -81m 16s),119000,1.7466207898899917,67.5,95.39999999999999,68.8,93.89999999999999
81m 29s (- -82m 30s),120000,1.7186594464441998,71.89999999999999,96.2,72.0,94.39999999999999
82m 1s (- -83m 58s),121000,1.8538155729198773,70.0,95.89999999999999,71.89999999999999,95.5
82m 45s (- -83m 14s),122000,1.7669824726425827,66.0,89.9,68.10000000000001,88.9
83m 28s (- -84m 31s),123000,1.730698454142494,67.80000000000001,92.5,69.69999999999999,90.9
84m 10s (- -85m 49s),124000,1.7819597666884077,68.0,94.6,68.30000000000001,94.19999999999999
84m 45s (- -85m 15s),125000,1.8086238266590882,69.19999999999999,96.2,73.5,94.69999999999999
85m 30s (- -86m 29s),126000,1.8194590755484366,65.7,95.89999999999999,71.3,94.19999999999999
86m 10s (- -87m 49s),127000,1.797655294644769,67.4,93.60000000000001,69.19999999999999,91.9
86m 49s (- -87m 10s),128000,1.7750327277113367,68.89999999999999,96.2,74.9,94.39999999999999
87m 31s (- -88m 29s),129000,1.828891438039949,65.2,91.60000000000001,69.5,91.4
88m 16s (- -89m 43s),130000,1.72593146397306,70.3,94.89999999999999,73.4,94.1
88m 48s (- -89m 11s),131000,1.7590374044941313,69.69999999999999,92.9,71.6,93.8
89m 32s (- -90m 27s),132000,1.8197447976022176,67.7,96.3,69.5,96.3
90m 13s (- -91m 46s),133000,1.7956092053301569,67.60000000000001,94.69999999999999,69.69999999999999,94.19999999999999
90m 52s (- -91m 7s),134000,1.8212371004396313,68.0,94.6,69.3,93.4
91m 31s (- -92m 28s),135000,1.70386899436057,66.7,91.8,68.30000000000001,90.7
92m 18s (- -93m 41s),136000,1.8050696821688494,66.7,95.7,67.5,93.30000000000001
92m 51s (- -93m 8s),137000,1.8205741094926686,68.4,93.60000000000001,69.6,91.3
93m 35s (- -94m 24s),138000,1.823176858414288,64.8,95.7,66.4,96.0
94m 16s (- -95m 43s),139000,1.8480999088617487,67.5,94.8,68.89999999999999,93.4
94m 58s (- -95m 1s),140000,1.8288678798649114,66.4,94.69999999999999,69.6,93.7
95m 33s (- -96m 26s),141000,1.791218201227402,69.3,92.7,71.5,92.60000000000001
96m 22s (- -97m 37s),142000,1.7613957129246818,69.19999999999999,94.3,71.1,94.19999999999999
96m 51s (- -97m 8s),143000,1.7455604510017717,67.30000000000001,94.8,70.5,94.5
97m 36s (- -98m 23s),144000,1.7325302495042023,67.9,94.19999999999999,71.39999999999999,95.0
98m 14s (- -99m 45s),145000,1.7924456284289187,67.7,95.8,71.3,94.8
99m 1s (- -100m 58s),146000,1.8078045489396635,68.60000000000001,94.6,69.89999999999999,94.6
99m 34s (- -100m 25s),147000,1.7308396194164617,68.7,92.4,69.0,90.4
100m 19s (- -101m 40s),148000,1.8041046987136886,69.5,95.8,70.5,94.19999999999999
101m 0s (- -102m 59s),149000,1.6952671492894953,69.8,92.7,72.89999999999999,92.4
101m 41s (- -102m 18s),150000,1.753172039832172,68.5,93.2,70.6,92.5
102m 18s (- -103m 41s),151000,1.7523330893387978,68.8,93.89999999999999,70.89999999999999,92.80000000000001
103m 3s (- -104m 56s),152000,1.7982820830670918,69.69999999999999,96.0,72.0,96.0
103m 40s (- -104m 19s),153000,1.7991964836953804,70.19999999999999,94.19999999999999,72.2,95.1
104m 21s (- -105m 38s),154000,1.8194702211275933,68.8,95.7,71.1,95.8
105m 10s (- -106m 49s),155000,1.8036674984383647,66.8,90.7,70.6,92.10000000000001
105m 43s (- -106m 16s),156000,1.8118282187551216,68.0,94.6,70.7,95.0
106m 27s (- -107m 32s),157000,1.791513574926254,69.5,94.1,72.6,94.1
107m 7s (- -108m 52s),158000,1.7017285222120417,70.89999999999999,95.0,73.3,95.1
107m 47s (- -108m 12s),159000,1.765776963378236,67.5,95.5,71.1,96.1
108m 26s (- -109m 33s),160000,1.785909577797334,70.0,94.0,72.6,93.0
109m 7s (- -110m 52s),161000,1.8737144807411088,66.9,96.1,70.8,96.6
109m 52s (- -110m 7s),162000,1.7639257084571769,68.7,94.5,70.39999999999999,93.5
110m 29s (- -111m 30s),163000,1.7646483692657091,68.89999999999999,94.69999999999999,71.6,94.89999999999999
111m 11s (- -112m 48s),164000,1.7559999110399702,68.30000000000001,93.89999999999999,72.8,95.19999999999999
111m 48s (- -112m 11s),165000,1.8128721848935185,67.7,92.60000000000001,71.6,92.80000000000001
112m 33s (- -113m 26s),166000,1.7992760259500664,68.89999999999999,92.60000000000001,73.0,92.7
113m 11s (- -114m 48s),167000,1.7038557196311117,70.1,92.4,72.89999999999999,92.10000000000001
113m 56s (- -114m 3s),168000,1.8192262280443188,68.10000000000001,92.10000000000001,72.39999999999999,92.80000000000001
114m 35s (- -115m 24s),169000,1.7232679036437624,70.3,94.39999999999999,74.3,94.5
115m 15s (- -116m 45s),170000,1.8099047973016196,68.4,95.5,70.8,96.1
116m 0s (- -117m 59s),171000,1.7597820624220362,69.3,95.0,72.2,95.6
116m 38s (- -117m 21s),172000,1.7748387919412543,65.7,91.60000000000001,69.5,90.7
117m 20s (- -118m 39s),173000,1.8094507754405253,70.89999999999999,95.39999999999999,71.5,94.1
118m 0s (- -119m 59s),174000,1.8594548068984755,68.5,96.39999999999999,73.7,96.1
