time,iteration,loss,test accuracy,test end,train accuracy,train end
1m 20s (- -2m 39s),1000,3.8906368881705258,2.5,100.0,3.2,100.0
1m 59s (- -2m 0s),2000,3.73938993866871,4.6,90.0,3.3000000000000003,88.4
2m 36s (- -3m 23s),3000,3.4930712857595663,7.199999999999999,100.0,6.2,100.0
3m 15s (- -4m 44s),4000,3.1653295375035775,21.7,100.0,23.0,100.0
3m 56s (- -4m 3s),5000,2.81942122469375,23.9,99.7,24.6,99.9
4m 32s (- -5m 27s),6000,2.5536087700591583,24.099999999999998,100.0,25.2,100.0
5m 13s (- -6m 46s),7000,2.3962089536963123,26.200000000000003,94.8,29.9,95.19999999999999
5m 53s (- -6m 6s),8000,2.4248674264888868,28.000000000000004,97.7,30.8,97.8
6m 38s (- -7m 21s),9000,2.3749283404807544,27.700000000000003,87.9,31.4,87.4
7m 18s (- -8m 41s),10000,2.3355034724660966,30.2,97.2,33.7,97.3
8m 0s (- -9m 59s),11000,2.234696273859992,31.3,97.1,34.300000000000004,96.89999999999999
8m 39s (- -9m 20s),12000,2.24212490507148,31.4,96.6,35.199999999999996,96.39999999999999
9m 24s (- -10m 35s),13000,2.198219745509613,33.1,88.0,37.4,88.4
10m 4s (- -11m 55s),14000,2.184959367633125,37.8,94.89999999999999,40.9,93.4
10m 46s (- -11m 13s),15000,2.206115524613181,37.3,99.1,40.8,99.3
11m 29s (- -12m 30s),16000,2.1656411218412144,39.5,93.30000000000001,41.5,94.6
12m 19s (- -13m 40s),17000,2.1504196449498165,37.2,97.39999999999999,42.3,98.2
13m 8s (- -14m 51s),18000,2.087999579974764,43.0,98.2,46.5,97.5
13m 59s (- -14m 0s),19000,2.0384742067516384,42.5,99.3,44.9,99.4
14m 47s (- -15m 12s),20000,2.0346939313210597,43.2,96.7,47.0,97.0
15m 41s (- -16m 18s),21000,2.0315150158714257,44.2,92.4,45.5,90.9
16m 30s (- -17m 29s),22000,2.0378385542086725,45.1,96.39999999999999,49.5,95.1
17m 28s (- -18m 31s),23000,2.043188471212684,46.5,81.10000000000001,50.6,81.6
18m 20s (- -19m 39s),24000,2.0403503287140285,47.199999999999996,96.3,53.800000000000004,96.39999999999999
19m 7s (- -20m 52s),25000,2.0265029938268597,47.199999999999996,96.39999999999999,52.2,95.5
20m 0s (- -21m 59s),26000,2.0372162374649494,47.699999999999996,90.3,50.3,90.60000000000001
20m 46s (- -21m 14s),27000,1.91356313150088,50.2,95.1,55.50000000000001,96.3
21m 37s (- -22m 22s),28000,2.000438401535622,51.1,90.10000000000001,53.0,90.9
22m 22s (- -23m 37s),29000,1.9410595300780054,55.2,97.6,55.900000000000006,97.2
23m 14s (- -24m 45s),30000,1.9594226387167022,53.6,92.2,54.7,92.80000000000001
