time,iteration,loss,test accuracy,test end,train accuracy,train end
2m 33s (- -3m 26s),1000,3.4116779476471106,17.1,84.3,17.4,84.3
4m 19s (- -5m 40s),2000,2.632095231857582,23.5,80.30000000000001,23.7,80.80000000000001
5m 53s (- -6m 6s),3000,2.567665480343139,26.200000000000003,95.89999999999999,27.500000000000004,96.39999999999999
7m 29s (- -8m 30s),4000,2.463789358952006,27.500000000000004,94.3,29.2,94.0
8m 59s (- -9m 0s),5000,2.319750515170951,30.599999999999998,86.8,32.1,88.3
10m 39s (- -11m 20s),6000,2.236966524486643,31.900000000000002,95.19999999999999,35.0,95.19999999999999
12m 16s (- -13m 43s),7000,2.280052461374157,33.800000000000004,83.5,38.9,84.6
13m 57s (- -14m 2s),8000,2.23739665641818,34.2,90.7,37.4,91.10000000000001
15m 13s (- -16m 46s),9000,2.181491024594435,37.4,93.5,40.400000000000006,92.5
16m 57s (- -17m 2s),10000,2.249414658881432,33.7,90.8,37.3,90.8
18m 40s (- -19m 20s),11000,2.257751046173531,37.8,93.4,38.2,93.4
20m 19s (- -21m 40s),12000,2.17762853159966,38.5,91.9,41.8,90.7
21m 59s (- -22m 0s),13000,2.1408617150060665,38.3,85.7,38.6,86.6
23m 31s (- -24m 29s),14000,2.1964164341835106,36.6,92.60000000000001,37.3,92.4
25m 17s (- -26m 42s),15000,2.1345303322924822,36.6,94.0,39.0,93.10000000000001
26m 53s (- -27m 7s),16000,2.1586503101539236,40.5,87.7,44.0,88.7
28m 33s (- -29m 26s),17000,2.122688498860625,39.5,92.30000000000001,40.8,91.8
29m 43s (- -30m 16s),18000,2.1192775200180503,38.7,93.4,42.699999999999996,91.3
31m 34s (- -32m 25s),19000,2.202208114148747,41.3,91.5,46.300000000000004,89.1
33m 5s (- -34m 54s),20000,2.1091640158234144,42.199999999999996,91.0,45.2,91.4
34m 56s (- -35m 4s),21000,2.1286555149320474,42.699999999999996,90.2,46.9,88.6
36m 12s (- -37m 47s),22000,2.1656907404996524,40.2,93.8,44.0,93.10000000000001
37m 55s (- -38m 4s),23000,2.1242098047324447,42.199999999999996,91.0,45.7,89.9
39m 28s (- -40m 31s),24000,2.1503257942811627,39.900000000000006,93.8,44.0,94.6
41m 12s (- -42m 48s),25000,2.1399809333416644,40.699999999999996,91.4,45.6,91.8
42m 43s (- -43m 16s),26000,2.101650607636781,42.1,93.2,46.6,93.10000000000001
44m 12s (- -45m 47s),27000,2.119899216492002,43.9,94.39999999999999,46.2,93.60000000000001
45m 46s (- -46m 14s),28000,2.092793150213776,43.2,91.2,46.5,90.7
47m 30s (- -48m 29s),29000,2.077694266633632,43.4,92.7,46.7,91.8
49m 1s (- -50m 58s),30000,2.041768664611741,42.9,95.1,44.800000000000004,94.1
50m 37s (- -51m 22s),31000,2.1373650445544796,43.7,94.0,46.5,94.5
52m 6s (- -53m 53s),32000,2.0229417809678383,44.0,92.2,46.6,90.8
53m 47s (- -54m 12s),33000,2.0399243124633184,43.2,95.5,47.099999999999994,95.19999999999999
55m 26s (- -56m 33s),34000,2.0782682764254794,45.4,87.1,48.9,88.0
57m 9s (- -58m 50s),35000,2.0728120488716515,43.9,92.5,47.099999999999994,91.7
58m 27s (- -59m 32s),36000,2.0175086723722893,43.0,89.3,48.1,90.10000000000001
60m 15s (- -61m 44s),37000,2.151681380577032,45.9,89.4,49.6,90.8
61m 57s (- -62m 2s),38000,2.1384279744002916,45.2,94.89999999999999,48.0,92.9
63m 37s (- -64m 22s),39000,2.0654488217394067,43.6,91.0,47.599999999999994,92.4
