time,iteration,loss,test accuracy,test end,train accuracy,train end
4m 21s (- -5m 38s),1000,3.2042523306739814,14.499999999999998,91.10000000000001,14.299999999999999,90.4
8m 37s (- -9m 22s),2000,2.6656419040673573,20.8,82.5,21.9,83.3
13m 19s (- -14m 40s),3000,2.6457270981857306,23.0,70.19999999999999,23.9,68.60000000000001
17m 59s (- -18m 0s),4000,2.64578138900958,24.7,63.3,25.5,66.10000000000001
22m 33s (- -23m 27s),5000,2.522020743952555,26.400000000000002,70.39999999999999,27.1,70.89999999999999
27m 4s (- -28m 55s),6000,2.5634182209609953,26.700000000000003,72.5,28.799999999999997,72.89999999999999
31m 49s (- -32m 11s),7000,2.4705599847942827,28.000000000000004,60.5,28.199999999999996,63.0
36m 30s (- -37m 29s),8000,2.471976857299064,29.4,69.5,31.7,68.60000000000001
41m 16s (- -42m 43s),9000,2.500351421219214,29.5,59.099999999999994,33.300000000000004,60.9
46m 6s (- -47m 53s),10000,2.475045647616731,29.599999999999998,71.2,30.7,70.7
50m 54s (- -51m 5s),11000,2.4741670367719015,26.8,70.1,29.5,71.89999999999999
55m 50s (- -56m 9s),12000,2.4915599600749565,29.099999999999998,71.1,29.5,70.0
60m 37s (- -61m 23s),13000,2.4774927868363457,31.7,70.8,35.0,69.3
65m 29s (- -66m 30s),14000,2.4404262864162223,31.900000000000002,68.89999999999999,33.5,69.6
70m 32s (- -71m 27s),15000,2.5004589362719116,30.8,66.9,35.5,67.60000000000001
75m 47s (- -76m 12s),16000,2.431288790116354,31.6,59.599999999999994,34.0,61.8
80m 42s (- -81m 17s),17000,2.47599927526178,31.2,71.8,34.4,69.3
85m 37s (- -86m 23s),18000,2.425527979842713,30.3,79.3,32.6,80.10000000000001
90m 31s (- -91m 29s),19000,2.3696657584231517,32.0,67.80000000000001,34.2,71.0
95m 37s (- -96m 22s),20000,2.347077154015659,33.300000000000004,68.7,35.699999999999996,67.9
100m 51s (- -101m 8s),21000,2.3952007250067515,31.4,63.800000000000004,33.800000000000004,62.5
105m 45s (- -106m 14s),22000,2.4225700809309334,29.2,82.89999999999999,30.2,78.9
110m 46s (- -111m 13s),23000,2.4099000436647646,31.6,71.6,32.800000000000004,72.8
115m 48s (- -116m 12s),24000,2.4045487254049784,32.2,77.2,33.6,76.6
120m 41s (- -121m 19s),25000,2.3655649931649014,31.3,78.7,33.900000000000006,76.5
125m 49s (- -126m 10s),26000,2.4323803257351444,31.1,69.5,35.099999999999994,67.0
130m 54s (- -131m 6s),27000,2.3328932364465436,32.5,76.9,35.8,72.39999999999999
135m 44s (- -136m 16s),28000,2.334790670757025,32.4,81.89999999999999,34.1,81.10000000000001
140m 58s (- -141m 1s),29000,2.3910805403744604,32.300000000000004,73.5,35.5,72.3
146m 6s (- -147m 53s),30000,2.414179676517106,31.7,78.3,34.9,77.7
151m 20s (- -152m 39s),31000,2.3321555545377457,32.2,77.7,35.9,75.9
156m 30s (- -157m 29s),32000,2.358637356398911,32.800000000000004,74.3,34.2,74.3
161m 45s (- -162m 14s),33000,2.3329216545809026,32.2,74.8,34.599999999999994,73.2
167m 16s (- -168m 43s),34000,2.352567826255255,35.0,55.50000000000001,36.7,54.7
172m 54s (- -173m 5s),35000,2.332548559981192,33.800000000000004,59.699999999999996,36.0,57.199999999999996
178m 18s (- -179m 41s),36000,2.393750719644937,33.6,74.9,35.6,73.8
183m 44s (- -184m 15s),37000,2.407761754360614,34.599999999999994,67.10000000000001,37.4,67.2
189m 19s (- -190m 41s),38000,2.37933437398696,34.8,70.7,34.5,66.2
194m 44s (- -195m 15s),39000,2.392077171371023,34.1,70.1,36.4,68.10000000000001
200m 9s (- -201m 50s),40000,2.4157502652470644,34.699999999999996,72.8,37.0,70.3
205m 30s (- -206m 29s),41000,2.3992224570668896,35.0,67.9,38.0,65.9
211m 5s (- -212m 54s),42000,2.3770176141677712,35.3,61.4,36.4,61.7
216m 37s (- -217m 22s),43000,2.3681902658162146,34.699999999999996,65.5,35.8,66.7
222m 3s (- -223m 57s),44000,2.3247655698805425,34.5,68.2,38.1,70.6
227m 37s (- -228m 22s),45000,2.381065908670612,34.4,66.2,36.7,68.89999999999999
233m 7s (- -234m 53s),46000,2.3441613302763393,34.300000000000004,68.10000000000001,35.3,71.8
238m 31s (- -239m 28s),47000,2.2814836800862834,35.9,68.8,37.0,69.19999999999999
243m 48s (- -244m 11s),48000,2.3899083911399237,34.300000000000004,77.0,36.4,77.4
249m 18s (- -250m 41s),49000,2.351793757137557,32.9,68.2,33.7,68.8
254m 40s (- -255m 19s),50000,2.3825543718896816,31.3,78.3,36.0,77.4
260m 23s (- -261m 37s),51000,2.3747573156439676,33.0,69.19999999999999,34.0,69.0
265m 45s (- -266m 14s),52000,2.4495060756686287,33.2,77.4,34.1,75.2
271m 13s (- -272m 46s),53000,2.386612140517814,29.4,75.2,31.8,78.0
276m 30s (- -277m 29s),54000,2.413907456828699,33.300000000000004,77.4,35.699999999999996,78.0
282m 14s (- -283m 45s),55000,2.3304629752970047,33.800000000000004,59.8,35.8,60.6
287m 52s (- -288m 7s),56000,2.280126730236435,34.5,61.199999999999996,36.8,62.8
293m 28s (- -294m 32s),57000,2.406226185468284,31.8,71.1,35.3,68.8
299m 4s (- -300m 55s),58000,2.3135020481995037,35.0,69.69999999999999,37.1,71.39999999999999
304m 44s (- -305m 16s),59000,2.3938584117694983,32.5,71.89999999999999,35.9,73.0
310m 26s (- -311m 33s),60000,2.3113412959650868,34.2,65.5,38.1,66.3
316m 23s (- -317m 36s),61000,2.345889438670066,35.199999999999996,61.8,38.0,62.8
322m 16s (- -323m 43s),62000,2.4118219419030447,34.300000000000004,68.5,34.9,69.19999999999999
327m 58s (- -328m 2s),63000,2.3393430922272365,34.4,70.89999999999999,35.6,68.7
333m 29s (- -334m 30s),64000,2.298909564253989,32.5,79.0,34.1,79.5
339m 12s (- -340m 47s),65000,2.375178684816767,34.4,72.89999999999999,35.9,73.6
344m 52s (- -345m 8s),66000,2.3376957720261298,35.8,71.6,36.199999999999996,70.89999999999999
350m 28s (- -351m 32s),67000,2.3236048579644253,33.900000000000006,77.3,36.5,77.5
356m 0s (- -357m 59s),68000,2.3699518987235515,34.1,75.6,37.2,72.3
361m 42s (- -362m 17s),69000,2.217911640882681,35.5,72.6,38.6,74.2
367m 23s (- -368m 37s),70000,2.325939979063733,37.1,71.1,38.2,68.5
373m 11s (- -374m 48s),71000,2.269466819434024,36.199999999999996,64.5,38.800000000000004,67.4
379m 5s (- -380m 54s),72000,2.294158389014891,34.5,73.5,37.0,76.1
385m 11s (- -386m 49s),73000,2.3506239616310363,34.9,70.39999999999999,36.5,72.3
391m 8s (- -392m 52s),74000,2.2955733305739563,34.5,76.1,36.7,76.0
397m 15s (- -398m 44s),75000,2.2987271135319376,36.1,73.8,37.8,74.3
403m 37s (- -404m 22s),76000,2.3706621178353946,35.099999999999994,77.0,37.5,76.6
410m 3s (- -411m 56s),77000,2.32622452856344,32.800000000000004,76.5,35.699999999999996,77.4
416m 37s (- -417m 22s),78000,2.223580621158363,34.8,68.0,37.6,67.5
423m 15s (- -424m 44s),79000,2.2970602979116035,34.4,71.1,35.0,71.7
429m 51s (- -430m 9s),80000,2.271071655132931,35.8,70.6,36.199999999999996,71.5
436m 42s (- -437m 17s),81000,2.2969992559204915,35.8,66.9,37.3,67.2
443m 19s (- -444m 40s),82000,2.314660214453336,35.0,76.5,36.6,76.8
450m 13s (- -451m 46s),83000,2.3452456203261494,34.2,72.39999999999999,37.2,68.4
456m 49s (- -457m 10s),84000,2.315481156911542,34.0,73.0,37.1,70.3
463m 26s (- -464m 34s),85000,2.327959896436337,34.599999999999994,69.3,37.2,68.0
470m 12s (- -471m 47s),86000,2.3373720579328494,34.699999999999996,63.0,37.3,64.60000000000001
476m 56s (- -477m 3s),87000,2.3265722858569307,34.9,65.3,37.1,65.9
483m 34s (- -484m 25s),88000,2.362148819306075,36.0,75.8,37.2,75.8
490m 21s (- -491m 38s),89000,2.352351279969892,35.9,68.2,37.8,67.60000000000001
497m 4s (- -498m 55s),90000,2.38645215183447,36.1,70.89999999999999,36.3,71.89999999999999
503m 31s (- -504m 28s),91000,2.320746555547741,32.4,82.89999999999999,34.300000000000004,83.1
510m 21s (- -511m 38s),92000,2.2978473547593117,36.4,74.5,36.9,72.1
517m 12s (- -518m 47s),93000,2.2927415549727526,35.6,65.3,36.9,65.5
523m 44s (- -524m 15s),94000,2.308737828795382,34.8,78.4,36.199999999999996,77.8
530m 49s (- -531m 10s),95000,2.354760604030086,35.8,67.80000000000001,37.4,68.30000000000001
538m 2s (- -539m 57s),96000,2.3984404376295676,35.5,68.30000000000001,36.9,70.3
544m 51s (- -545m 8s),97000,2.2766834837056646,34.5,77.8,35.199999999999996,79.7
552m 15s (- -553m 44s),98000,2.2899297407448556,36.5,62.5,38.2,62.7
559m 26s (- -560m 33s),99000,2.4207884039154903,34.300000000000004,73.0,36.199999999999996,71.8
566m 50s (- -567m 9s),100000,2.340383174881925,35.099999999999994,58.699999999999996,37.3,62.5
574m 3s (- -575m 56s),101000,2.3577862343740783,35.0,65.9,37.8,66.5
581m 29s (- -582m 30s),102000,2.2909825096667333,36.4,56.99999999999999,39.5,57.099999999999994
588m 33s (- -589m 27s),103000,2.2480175297925755,36.8,71.8,37.5,73.3
595m 41s (- -596m 18s),104000,2.3117635591104975,35.099999999999994,71.3,37.4,70.5
602m 53s (- -603m 6s),105000,2.358776005984912,34.9,77.10000000000001,37.4,73.5
610m 13s (- -611m 47s),106000,2.26477158688181,36.199999999999996,65.3,37.2,64.1
617m 42s (- -618m 17s),107000,2.314999155373266,36.4,70.39999999999999,39.5,68.5
625m 11s (- -626m 49s),108000,2.2992931989879213,36.4,75.4,37.8,77.8
632m 41s (- -633m 19s),109000,2.2683467917605276,36.3,71.7,38.3,72.3
640m 53s (- -641m 6s),110000,2.330201271862852,35.0,61.6,40.2,63.3
648m 54s (- -649m 5s),111000,2.3436305902572396,37.3,57.49999999999999,39.300000000000004,58.699999999999996
