time,iteration,loss,test accuracy,test end,train accuracy,train end
24m 29s (- -25m 30s),70000,1.8348838364740805,63.0,92.0,67.2,92.4
24m 48s (- -25m 11s),71000,1.8664302464690874,66.60000000000001,94.8,69.6,93.5
25m 7s (- -26m 52s),72000,1.8463360429238158,63.6,93.8,65.60000000000001,93.4
25m 30s (- -26m 29s),73000,1.7975228921721844,70.5,92.7,71.8,92.10000000000001
25m 53s (- -26m 6s),74000,1.7928619992592072,70.5,95.89999999999999,71.5,95.0
26m 12s (- -27m 47s),75000,1.8002074157994266,66.8,94.3,69.8,93.4
26m 31s (- -27m 28s),76000,1.8614200750154923,67.7,90.5,70.1,89.4
26m 53s (- -27m 6s),77000,1.8324183338360738,64.2,95.19999999999999,66.2,94.19999999999999
27m 16s (- -28m 43s),78000,1.7764743057094068,68.0,96.0,71.2,95.0
27m 35s (- -28m 24s),79000,1.8119465464764444,69.89999999999999,95.5,73.3,96.39999999999999
27m 53s (- -28m 6s),80000,1.776721702249562,70.39999999999999,94.69999999999999,72.39999999999999,94.5
28m 15s (- -29m 44s),81000,1.7634326809312064,68.10000000000001,93.89999999999999,68.89999999999999,94.1
28m 37s (- -29m 22s),82000,1.7678022044448658,65.9,96.39999999999999,69.6,96.2
28m 56s (- -29m 3s),83000,1.796339737632618,64.5,94.5,68.7,93.10000000000001
29m 15s (- -30m 44s),84000,1.8376135621060017,69.0,93.5,69.69999999999999,93.0
29m 37s (- -30m 22s),85000,1.8258158724447835,66.9,92.30000000000001,69.1,91.0
29m 56s (- -30m 3s),86000,1.7730023782161766,68.4,95.0,69.39999999999999,94.39999999999999
30m 18s (- -31m 41s),87000,1.8816374584140987,62.5,93.30000000000001,63.2,91.8
30m 41s (- -31m 18s),88000,1.7670903992686908,68.30000000000001,92.80000000000001,66.5,91.4
31m 0s (- -32m 59s),89000,1.871029129299873,68.60000000000001,95.0,69.3,93.60000000000001
31m 18s (- -32m 41s),90000,1.8123355127668281,69.6,96.39999999999999,71.2,97.0
31m 40s (- -32m 19s),91000,1.7025359802304063,68.89999999999999,95.7,70.5,94.6
31m 59s (- -32m 0s),92000,1.8323625554810845,71.5,94.69999999999999,71.1,92.80000000000001
32m 21s (- -33m 38s),93000,1.7361977961100126,69.89999999999999,96.1,73.4,95.19999999999999
32m 43s (- -33m 16s),94000,1.8228629313289895,66.60000000000001,94.69999999999999,69.6,95.0
33m 2s (- -34m 57s),95000,1.7665618406216061,67.4,95.89999999999999,70.6,94.6
33m 20s (- -34m 39s),96000,1.7737155096248562,66.8,95.5,70.8,93.60000000000001
33m 41s (- -34m 18s),97000,1.7260983514950572,71.0,98.1,71.5,98.0
34m 4s (- -35m 55s),98000,1.833679638987774,67.80000000000001,95.19999999999999,70.7,94.8
34m 22s (- -35m 37s),99000,1.7868126292989224,67.4,95.39999999999999,66.9,95.0
34m 40s (- -35m 19s),100000,1.7621363506538548,68.89999999999999,97.1,69.39999999999999,96.39999999999999
35m 2s (- -36m 57s),101000,1.7515207867100517,69.89999999999999,94.0,72.5,92.7
35m 21s (- -36m 38s),102000,1.6916647919865362,71.89999999999999,92.0,73.5,91.3
35m 42s (- -36m 17s),103000,1.7842425844831418,71.8,94.69999999999999,73.7,93.5
36m 4s (- -37m 55s),104000,1.8073965605439088,70.6,96.0,74.0,95.8
36m 23s (- -37m 36s),105000,1.8214910512985618,66.2,96.39999999999999,70.1,95.19999999999999
36m 42s (- -37m 17s),106000,1.8823463512298186,70.8,97.1,73.1,95.89999999999999
37m 3s (- -38m 56s),107000,1.7922545683494375,67.60000000000001,96.2,68.0,96.1
37m 25s (- -38m 34s),108000,1.7462983302719775,68.60000000000001,93.4,71.2,93.2
37m 44s (- -38m 15s),109000,1.8073092858568007,68.60000000000001,94.0,70.6,93.60000000000001
38m 2s (- -39m 57s),110000,1.690958089520844,68.60000000000001,95.89999999999999,69.8,95.6
38m 26s (- -39m 33s),111000,1.7915589566353978,66.5,90.5,66.0,89.0
38m 49s (- -39m 10s),112000,1.8740652526469996,66.4,94.1,68.8,94.0
39m 8s (- -40m 51s),113000,1.810467336804332,68.0,95.39999999999999,70.19999999999999,94.6
39m 28s (- -40m 31s),114000,1.7648106408617348,67.4,94.3,71.5,94.1
39m 49s (- -40m 10s),115000,1.7459263200607116,71.2,97.8,72.5,98.0
40m 8s (- -41m 51s),116000,1.7642232254271655,69.19999999999999,95.5,73.4,95.7
40m 29s (- -41m 30s),117000,1.753663467696527,68.4,94.6,69.8,95.8
40m 52s (- -41m 7s),118000,1.8571636070622362,71.5,93.60000000000001,73.3,95.1
41m 10s (- -42m 49s),119000,1.7870599051554998,64.8,94.6,68.10000000000001,94.89999999999999
41m 28s (- -42m 31s),120000,1.7307572956485793,66.7,96.39999999999999,69.5,96.89999999999999
41m 51s (- -42m 8s),121000,1.7542905760430232,70.5,93.8,71.39999999999999,94.5
42m 13s (- -43m 46s),122000,1.8473699191496715,69.39999999999999,93.7,71.5,94.1
42m 33s (- -43m 26s),123000,1.8019583784442814,64.7,91.2,64.60000000000001,91.8
42m 51s (- -43m 8s),124000,1.826779302426144,64.1,94.39999999999999,66.8,94.19999999999999
43m 12s (- -44m 47s),125000,1.886062323122411,67.30000000000001,96.2,69.39999999999999,95.89999999999999
43m 35s (- -44m 24s),126000,1.8582787860474446,66.8,92.9,72.0,93.2
43m 54s (- -44m 5s),127000,1.8347997678438859,66.7,92.5,70.0,93.7
44m 12s (- -45m 47s),128000,1.8384544839232249,69.19999999999999,94.69999999999999,69.19999999999999,96.1
44m 35s (- -45m 24s),129000,1.7808066006408962,67.2,90.60000000000001,69.6,88.8
44m 58s (- -45m 1s),130000,1.8529549274606874,68.89999999999999,95.5,70.3,94.8
45m 17s (- -46m 42s),131000,1.8904139479035267,70.39999999999999,93.89999999999999,71.8,93.30000000000001
45m 35s (- -46m 24s),132000,1.7598891101658682,67.10000000000001,96.39999999999999,71.3,96.5
45m 59s (- -46m 0s),133000,1.8556135881187896,65.9,95.3,66.5,95.3
46m 17s (- -47m 42s),134000,1.8131136590364694,65.5,95.19999999999999,68.10000000000001,95.3
46m 40s (- -47m 19s),135000,1.8702313619006048,68.7,96.39999999999999,67.80000000000001,96.2
47m 4s (- -48m 55s),136000,1.8251826725322693,67.5,88.1,68.7,87.8
47m 23s (- -48m 36s),137000,1.7987656533381802,66.0,95.6,66.3,96.8
47m 41s (- -48m 18s),138000,1.8319265755079575,66.5,97.0,66.4,97.89999999999999
48m 3s (- -49m 56s),139000,1.8113538521904164,67.2,93.60000000000001,70.1,95.3
48m 22s (- -49m 37s),140000,1.737581906803736,69.89999999999999,94.1,72.2,94.39999999999999
48m 44s (- -49m 15s),141000,1.7780212951652754,69.89999999999999,96.3,71.5,95.89999999999999
49m 8s (- -50m 51s),142000,1.8450512709919924,67.4,97.89999999999999,69.6,98.0
49m 27s (- -50m 32s),143000,1.7963679747606551,67.60000000000001,94.0,69.69999999999999,94.0
49m 46s (- -50m 13s),144000,1.6697522340969548,69.3,91.2,72.1,91.8
50m 8s (- -51m 51s),145000,1.7546113914477521,68.10000000000001,94.5,69.3,94.6
50m 31s (- -51m 28s),146000,1.7760533954031807,71.39999999999999,94.1,71.7,93.60000000000001
50m 50s (- -51m 9s),147000,1.7701380361910115,70.19999999999999,95.39999999999999,73.2,95.1
51m 8s (- -52m 51s),148000,1.7826005366365785,67.10000000000001,96.0,69.5,96.2
51m 30s (- -52m 29s),149000,1.796515972343806,67.0,95.39999999999999,70.0,95.6
51m 48s (- -52m 11s),150000,1.764070181207093,65.2,98.2,69.5,98.7
52m 10s (- -53m 49s),151000,1.8704281461779564,61.9,96.3,65.60000000000001,96.1
52m 31s (- -53m 28s),152000,1.8485118463619317,64.0,97.0,68.4,97.2
52m 51s (- -53m 8s),153000,1.8542819825831698,58.5,90.8,60.4,92.7
53m 9s (- -54m 50s),154000,1.97852645738431,59.3,91.5,60.9,91.10000000000001
53m 31s (- -54m 28s),155000,1.9488277864874664,53.2,95.6,57.99999999999999,94.8
53m 52s (- -54m 7s),156000,1.9124425409822348,54.2,97.8,58.099999999999994,98.6
54m 10s (- -55m 49s),157000,1.8493402170731803,59.9,93.4,63.2,94.19999999999999
54m 28s (- -55m 31s),158000,1.941553679369997,55.800000000000004,96.2,57.8,97.5
54m 50s (- -55m 9s),159000,1.9270281572742116,43.6,92.60000000000001,46.2,93.5
55m 8s (- -56m 51s),160000,2.144615580140725,53.900000000000006,93.2,56.10000000000001,94.1
55m 30s (- -56m 29s),161000,2.056745347361095,53.5,96.89999999999999,56.99999999999999,98.1
55m 54s (- -56m 5s),162000,2.0446236912459153,55.400000000000006,96.2,57.8,96.6
56m 12s (- -57m 47s),163000,2.061426585846697,56.00000000000001,96.6,58.9,97.3
56m 30s (- -57m 29s),164000,1.9739691824074055,53.6,96.1,56.2,96.5
56m 51s (- -57m 8s),165000,2.11847514442016,50.7,88.6,52.2,90.7
57m 9s (- -58m 50s),166000,2.0922120996384748,51.2,97.7,53.6,96.1
57m 33s (- -58m 26s),167000,2.1049008198124834,33.7,65.5,36.8,67.0
57m 55s (- -58m 4s),168000,2.445700899404616,36.1,86.4,38.2,85.6
64m 0s (- -65m 59s),169000,2.3789724340457665,40.400000000000006,79.3,41.4,79.0
95m 45s (- -96m 14s),170000,2.213305311150458,43.2,96.0,46.6,95.7
102m 47s (- -103m 12s),171000,2.230546122170317,33.7,65.8,35.099999999999994,64.1
114m 23s (- -115m 36s),172000,2.207166649508555,41.6,88.8,45.0,89.0
114m 45s (- -115m 14s),173000,2.202137087398283,45.1,88.1,49.0,87.6
115m 50s (- -116m 9s),174000,2.209300418973936,40.6,92.60000000000001,43.3,92.10000000000001
116m 22s (- -117m 37s),175000,2.1293373063480288,43.9,90.2,44.7,90.10000000000001
116m 54s (- -117m 5s),176000,2.114854004433796,44.6,94.69999999999999,47.699999999999996,95.89999999999999
118m 54s (- -119m 5s),177000,2.0906937921107547,50.5,90.4,52.1,91.7
123m 17s (- -124m 42s),178000,2.142081761421682,37.9,82.19999999999999,39.4,82.39999999999999
123m 46s (- -124m 13s),179000,2.10976137065415,44.7,92.2,48.0,90.9
144m 45s (- -145m 14s),180000,2.2042201472655747,44.6,93.8,48.8,93.60000000000001
151m 5s (- -152m 54s),181000,2.147557515446804,42.9,94.5,44.1,94.1
151m 26s (- -152m 33s),182000,2.0570993913068047,44.4,97.2,47.9,96.89999999999999
153m 54s (- -154m 5s),183000,2.1433093493022755,46.300000000000004,97.5,49.5,97.1
154m 20s (- -155m 39s),184000,2.154989387301142,37.4,95.5,41.4,94.6
156m 24s (- -157m 35s),185000,2.441434152513281,12.5,81.2,13.4,79.7
156m 53s (- -157m 6s),186000,3.2191754572324927,12.0,60.9,13.4,64.9
157m 20s (- -158m 39s),187000,3.0558596404589426,13.100000000000001,54.900000000000006,15.299999999999999,56.2
157m 47s (- -158m 12s),188000,3.1916739433126815,13.900000000000002,60.6,17.0,62.2
158m 9s (- -159m 50s),189000,3.1771511947952042,16.400000000000002,55.300000000000004,16.2,56.10000000000001
158m 29s (- -159m 30s),190000,3.2103423263840773,12.4,63.800000000000004,11.899999999999999,65.9
158m 55s (- -159m 4s),191000,3.0419923797053867,15.4,64.8,14.299999999999999,68.89999999999999
159m 16s (- -160m 43s),192000,3.1091630394838847,12.6,81.3,11.899999999999999,83.8
159m 37s (- -160m 22s),193000,3.051042815761362,17.599999999999998,68.0,17.2,70.7
159m 56s (- -160m 3s),194000,3.0469715730048974,15.4,79.4,15.6,79.4
160m 22s (- -161m 37s),195000,2.9531460196456516,17.299999999999997,53.6,19.0,54.50000000000001
160m 44s (- -161m 15s),196000,2.9954427092299074,19.0,59.4,19.7,57.49999999999999
161m 9s (- -162m 50s),197000,2.995925867503095,18.3,61.7,21.7,60.699999999999996
161m 33s (- -162m 26s),198000,3.036764444189825,17.2,68.60000000000001,19.400000000000002,67.0
161m 54s (- -162m 5s),199000,3.023016884050427,16.3,59.4,16.900000000000002,63.2
162m 16s (- -163m 43s),200000,3.0651657761183717,20.8,54.0,19.7,54.7
162m 44s (- -163m 15s),201000,3.015244894237172,14.2,51.2,17.1,53.400000000000006
163m 8s (- -164m 51s),202000,2.84313929465724,20.7,59.0,22.6,59.599999999999994
163m 30s (- -164m 29s),203000,3.0384011603482,19.7,61.8,23.799999999999997,63.1
163m 51s (- -164m 8s),204000,2.932858695494515,20.599999999999998,59.0,24.9,61.1
164m 15s (- -165m 44s),205000,2.974598835057496,22.1,71.89999999999999,23.3,74.1
164m 34s (- -165m 25s),206000,3.0252729479419074,16.5,81.69999999999999,18.9,81.39999999999999
165m 0s (- -166m 59s),207000,2.995864047804857,21.6,60.4,24.7,63.1
165m 26s (- -166m 33s),208000,2.8772707730275706,22.3,53.800000000000004,24.2,55.60000000000001
165m 48s (- -166m 11s),209000,2.97971068413834,22.3,51.2,24.8,52.800000000000004
166m 9s (- -167m 50s),210000,2.949958991618389,17.599999999999998,57.9,19.2,61.199999999999996
166m 34s (- -167m 25s),211000,3.0407737133042794,15.7,68.4,18.099999999999998,68.7
167m 0s (- -168m 59s),212000,2.925677231087989,18.3,50.9,21.099999999999998,51.0
167m 24s (- -168m 35s),213000,2.8335579080274163,20.599999999999998,30.4,23.400000000000002,34.4
167m 46s (- -168m 13s),214000,2.9918498352889964,21.7,51.4,23.9,55.2
168m 10s (- -169m 49s),215000,2.8914949718295215,19.5,77.0,20.200000000000003,79.60000000000001
168m 29s (- -169m 30s),216000,2.8621317244488425,19.7,77.3,21.4,77.3
168m 59s (- -169m 0s),217000,2.9478884039665645,19.400000000000002,30.4,21.3,32.2
169m 22s (- -170m 37s),218000,2.95186639504472,22.3,65.7,24.7,67.2
169m 45s (- -170m 14s),219000,2.930181536052622,22.6,52.400000000000006,24.2,54.1
170m 12s (- -171m 47s),220000,2.9765148158109507,8.5,3.4000000000000004,8.6,3.1
170m 37s (- -171m 22s),221000,2.8619897933991436,22.3,56.00000000000001,23.9,60.6
171m 1s (- -172m 59s),222000,2.8575650691054664,21.3,40.6,23.3,41.9
171m 24s (- -172m 35s),223000,3.0071628350596096,19.1,77.9,20.9,78.60000000000001
171m 47s (- -172m 12s),224000,2.9315743355877686,14.299999999999999,86.7,16.2,86.8
172m 11s (- -173m 48s),225000,2.887285425464267,18.4,27.1,21.8,30.0
172m 34s (- -173m 25s),226000,2.9224126192855864,23.799999999999997,40.6,26.400000000000002,43.5
172m 59s (- -173m 0s),227000,2.877309639005322,21.2,69.89999999999999,22.6,70.8
173m 23s (- -174m 36s),228000,2.850595401687692,23.1,63.3,25.1,62.3
173m 45s (- -174m 14s),229000,2.948248321026509,21.4,48.5,24.8,48.6
174m 6s (- -175m 54s),230000,2.91273063769497,21.8,66.2,23.9,68.89999999999999
174m 30s (- -175m 29s),231000,2.919459702691704,21.9,61.199999999999996,24.0,62.6
174m 50s (- -175m 9s),232000,2.9785743526187813,20.8,68.8,22.7,72.1
175m 19s (- -176m 40s),233000,2.8384583810735027,12.0,10.6,12.1,12.2
175m 44s (- -176m 15s),234000,2.826708220465745,21.5,68.8,23.9,69.6
176m 4s (- -177m 55s),235000,2.9463700946476457,23.400000000000002,70.39999999999999,24.4,70.89999999999999
176m 23s (- -177m 36s),236000,2.8203775904081,22.1,75.8,24.6,77.2
176m 48s (- -177m 11s),237000,2.89240764543922,24.099999999999998,51.5,26.700000000000003,51.5
177m 14s (- -178m 45s),238000,2.7675155146104555,24.099999999999998,49.7,27.700000000000003,51.0
177m 35s (- -178m 24s),239000,2.798533861623493,21.7,63.7,25.1,66.7
177m 57s (- -178m 2s),240000,2.8933911868176976,23.799999999999997,52.5,27.200000000000003,55.2
178m 23s (- -179m 36s),241000,2.948394864877902,23.7,61.6,28.4,64.8
178m 47s (- -179m 12s),242000,2.8483787399377936,23.0,57.49999999999999,26.6,60.6
179m 11s (- -180m 48s),243000,3.013426190943773,25.0,36.199999999999996,27.700000000000003,40.699999999999996
179m 32s (- -180m 27s),244000,2.784794057056027,24.9,56.2,25.7,59.3
179m 55s (- -180m 4s),245000,2.876053886691751,19.5,77.8,22.900000000000002,80.0
180m 18s (- -181m 41s),246000,2.807585816792172,26.6,39.7,27.1,44.0
180m 42s (- -181m 17s),247000,2.7806847750987047,23.400000000000002,58.9,26.3,58.4
181m 9s (- -182m 50s),248000,2.8388523362335865,23.1,34.1,23.799999999999997,36.199999999999996
181m 29s (- -182m 30s),249000,2.865115787279809,23.0,68.4,26.5,69.69999999999999
181m 50s (- -182m 9s),250000,2.805640453019183,22.400000000000002,60.099999999999994,25.900000000000002,59.5
182m 15s (- -183m 44s),251000,2.894602508331914,21.3,64.5,25.6,66.7
182m 41s (- -183m 18s),252000,2.794873797827903,25.2,66.0,27.0,68.2
183m 6s (- -184m 53s),253000,2.830129574774341,20.0,19.900000000000002,23.5,22.6
183m 28s (- -184m 31s),254000,2.903696053930885,23.200000000000003,50.9,24.9,52.800000000000004
183m 54s (- -184m 5s),255000,2.9221009569650125,24.5,57.099999999999994,25.1,60.0
184m 20s (- -185m 39s),256000,2.8410310338099682,24.8,50.9,27.900000000000002,52.5
184m 41s (- -185m 18s),257000,2.7748386278443085,22.1,59.3,23.9,60.3
185m 2s (- -186m 57s),258000,2.939093168714462,21.5,57.3,23.5,56.699999999999996
185m 29s (- -186m 30s),259000,2.9068942835283136,24.099999999999998,62.2,27.1,62.2
185m 52s (- -186m 7s),260000,2.867912216650919,21.099999999999998,74.5,23.5,73.8
186m 12s (- -187m 47s),261000,2.959131960395993,21.2,71.8,23.5,71.0
186m 38s (- -187m 21s),262000,2.8113930396108717,21.4,15.6,22.7,18.9
187m 6s (- -188m 53s),263000,2.790126509670765,25.4,39.900000000000006,28.000000000000004,40.8
187m 28s (- -188m 31s),264000,2.917434790306793,24.4,53.900000000000006,26.900000000000002,55.300000000000004
187m 58s (- -188m 1s),265000,2.8817647522726086,21.9,20.7,25.0,25.2
188m 27s (- -189m 32s),266000,2.828774955727113,22.8,37.5,25.4,39.300000000000004
188m 49s (- -189m 10s),267000,2.867723930769827,26.200000000000003,56.3,27.700000000000003,55.00000000000001
189m 11s (- -190m 48s),268000,2.8315851333192534,24.2,45.300000000000004,28.299999999999997,50.3
189m 38s (- -190m 21s),269000,2.7561933126816354,25.2,50.2,28.000000000000004,51.9
189m 58s (- -190m 1s),270000,2.8498110195258475,23.1,71.1,26.400000000000002,73.0
190m 26s (- -191m 33s),271000,2.855828052379694,23.9,48.1,26.8,46.400000000000006
190m 51s (- -191m 8s),272000,2.984050945538342,20.9,60.8,22.2,60.3
191m 16s (- -192m 43s),273000,2.9145109352805876,18.6,32.1,19.7,35.099999999999994
191m 37s (- -192m 22s),274000,2.9659979209426774,12.9,69.6,14.499999999999998,69.19999999999999
192m 5s (- -193m 54s),275000,2.9436941296450394,22.7,52.800000000000004,23.1,53.0
192m 30s (- -193m 29s),276000,2.818890691597827,20.200000000000003,66.4,20.9,68.4
192m 51s (- -193m 8s),277000,2.8932779601667566,19.7,65.60000000000001,19.400000000000002,64.7
193m 13s (- -194m 46s),278000,2.899324161460385,15.299999999999999,54.400000000000006,16.2,55.00000000000001
193m 41s (- -194m 19s),279000,3.0019186216531755,18.6,41.5,20.599999999999998,43.2
194m 3s (- -195m 56s),280000,2.875527368868775,18.6,52.0,19.3,51.2
194m 32s (- -195m 27s),281000,2.7974595520187013,22.5,32.2,24.4,34.0
195m 1s (- -196m 58s),282000,2.9188182857886953,22.8,40.0,23.0,40.300000000000004
195m 22s (- -196m 37s),283000,2.7829992989284333,21.9,59.599999999999994,24.0,57.599999999999994
195m 43s (- -196m 16s),284000,2.799151273191848,21.9,64.5,22.0,63.800000000000004
196m 14s (- -197m 46s),285000,2.856464269180057,16.900000000000002,16.5,18.9,17.599999999999998
196m 43s (- -197m 16s),286000,2.8478579125520294,22.3,30.9,23.3,31.2
197m 4s (- -198m 55s),287000,2.798065056628762,19.2,63.800000000000004,20.8,64.3
197m 26s (- -198m 33s),288000,2.817708992616736,23.1,47.5,23.7,50.9
197m 52s (- -198m 7s),289000,2.8429075573071314,19.5,67.10000000000001,21.4,66.10000000000001
198m 12s (- -199m 47s),290000,2.825803080427965,19.6,67.80000000000001,19.6,69.0
198m 39s (- -199m 20s),291000,2.7644906625612857,24.2,54.6,26.900000000000002,54.900000000000006
199m 2s (- -200m 57s),292000,2.725175661249796,15.5,64.7,16.7,65.9
199m 24s (- -200m 36s),293000,2.7458644963270045,24.9,52.7,27.200000000000003,55.7
199m 46s (- -200m 13s),294000,2.797175460917417,24.099999999999998,48.0,27.1,47.199999999999996
200m 14s (- -201m 45s),295000,2.7211822911284136,25.7,42.6,27.1,44.3
200m 38s (- -201m 21s),296000,2.9122012178940864,24.5,31.3,28.299999999999997,34.0
201m 4s (- -202m 56s),297000,2.718182299953586,22.900000000000002,66.9,23.3,68.7
201m 31s (- -202m 28s),298000,2.887036901384525,26.6,40.400000000000006,28.999999999999996,45.1
201m 58s (- -202m 1s),299000,2.8633108005448595,14.399999999999999,6.6000000000000005,12.9,5.800000000000001
202m 23s (- -203m 36s),300000,2.7912806199295006,25.3,30.8,27.1,32.800000000000004
202m 48s (- -203m 11s),301000,2.701847637067326,25.8,67.9,26.200000000000003,68.89999999999999
203m 18s (- -204m 41s),302000,2.737805897784336,23.1,22.5,25.5,25.7
203m 40s (- -204m 19s),303000,2.8326020532993677,26.6,61.7,28.299999999999997,60.099999999999994
