b,rank,sketch,p,cost,time,regex,gt
4,b,?,timeout,999999.0,60,null,false
3,b,?,"repeatatleast(notcc(<low>),14): 153.66",153.66,5.849,"([^a-z]){14,}",false
83,b,?,timeout,999999.0,60,null,false
95,b,?,"contain(concat(< >,concat(<num>,<num1-9>))): 230.06",230.06,6.241,.*(([ ])(([0-9])([1-9]))).*,false
15,b,?,timeout,999999.0,60,null,false
30,b,?,timeout,999999.0,60,null,false
93,b,?,"or(<num1-9>,endwith(concat(<+>,<num>))): 230.26",230.26,2.056,(([1-9])|(.*(([+])([0-9])))),false
55,b,?,timeout,999999.0,60,null,false
42,b,?,timeout,999999.0,60,null,false
118,b,?,"repeat(<num>,6): 76.62",76.62,0.051,([0-9]){6},true
51,b,?,"or(<num>,concat(<1>,endwith(<2>))): 230.26",230.26,16.122,(([0-9])|(([1])(.*([2])))),false
46,b,?,timeout,999999.0,60,null,false
112,b,?,startwith(<let>): 76.9,76.9,0.04,([a-zA-Z]).*,false
101,b,?,"repeat(notcc(<D>),4): 153.62",153.62,4.353,([^D]){4},false
41,b,?,endwith(<num>): 76.94,76.94,0.042,.*([0-9]),false
103,b,?,endwith(<num1-9>): 76.94,76.94,0.038,.*([1-9]),false
99,b,?,timeout,999999.0,60,null,false
63,b,?,"concat(<num>,endwith(<num>)): 153.48000000000002",153.48000000000002,0.191,([0-9])(.*([0-9])),false
77,b,?,"contain(or(<@>,<!>)): 153.76",153.76,3.751,.*((([@])|([!]))).*,false
2,b,?,"contain(concat(<let>,concat(< >,<low>))): 230.06",230.06,16.647,.*(([a-zA-Z])(([ ])([a-z]))).*,false
