b,rank,sketch,p,cost,time,regex,gt
84,b,?,contain(<low>): 76.98,76.98,0.055,.*([a-z]).*,false
18,b,?,"repeatatleast(<num>,1): 76.66",76.66,0.046,"([0-9]){1,}",false
75,b,?,startwith(<num1-9>): 76.9,76.9,0.025,([1-9]).*,false
22,b,?,startwith(<cap>): 76.9,76.9,0.042,([A-Z]).*,false
111,b,?,startwith(<a>): 76.9,76.9,0.03,([a]).*,false
78,b,?,startwith(<A>): 76.9,76.9,0.028,([A]).*,false
108,b,?,"repeat(<num>,9): 76.62",76.62,0.034,([0-9]){9},false
49,b,?,startwith(<2>): 76.9,76.9,0.025,([2]).*,false
26,b,?,"repeat(<num>,11): 76.62",76.62,0.039,([0-9]){11},false
36,b,?,startwith(<num>): 76.9,76.9,0.035,([0-9]).*,false
98,b,?,startwith(<num1-9>): 76.9,76.9,0.03,([1-9]).*,false
90,b,?,"repeatatleast(<num1-9>,1): 76.66",76.66,0.063,"([1-9]){1,}",false
122,b,?,"repeat(<low>,5): 76.62",76.62,0.04,([a-z]){5},false
43,b,?,startwith(<num>): 76.9,76.9,0.024,([0-9]).*,false
35,b,?,contain(<low>): 76.98,76.98,0.039,.*([a-z]).*,false
28,b,?,startwith(<A>): 76.9,76.9,0.03,([A]).*,false
1,b,?,"repeatatleast(<low>,1): 76.66",76.66,0.06,"([a-z]){1,}",false
69,b,?,startwith(<num1-9>): 76.9,76.9,0.029,([1-9]).*,false
12,b,?,contain(<X>): 76.98,76.98,0.045,.*([X]).*,false
115,b,?,startwith(<a>): 76.9,76.9,0.034,([a]).*,false
81,b,?,startwith(<T>): 76.9,76.9,0.037,([T]).*,false
4,b,?,startwith(<1>): 76.9,76.9,0.032,([1]).*,false
3,b,?,endwith(<num1-9>): 76.94,76.94,0.038,.*([1-9]),false
83,b,?,startwith(<num>): 76.9,76.9,0.026,([0-9]).*,false
95,b,?,startwith(<num1-9>): 76.9,76.9,0.021,([1-9]).*,false
15,b,?,startwith(<num1-9>): 76.9,76.9,0.033,([1-9]).*,false
30,b,?,startwith(<low>): 76.9,76.9,0.043,([a-z]).*,false
93,b,?,startwith(<num1-9>): 76.9,76.9,0.03,([1-9]).*,false
55,b,?,startwith(<num>): 76.9,76.9,0.026,([0-9]).*,false
42,b,?,startwith(<C>): 76.9,76.9,0.029,([C]).*,false
118,b,?,"repeat(<num>,6): 76.62",76.62,0.037,([0-9]){6},true
